category_list,funding_total_usd,status,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,fail,operating,success
Clean Technology,16000000.0,operating,USA,Cambridge,1,2010-08-16,2010-08-16,2010,operating,0,1,0
Advertising|Enterprise Software|Finance|FinTech|Mobile Video|Video,8748376.0,operating,USA,Boulder,4,2011-08-01,2014-08-06,2011,operating,0,1,0
CRM|Project Management|Web Tools,4212583.0,operating,BEL,Gent,2,2014-05-22,2015-05-19,2012,operating,0,1,0
Entertainment|Games,2000.0,operating,USA,Bluffton,1,2010-07-08,2010-07-08,2009,operating,0,1,0
Colleges|Education|Mobile,750000.0,closed,USA,Mountain View,1,2012-01-25,2012-01-25,2012,fail,1,0,0
Travel & Tourism,250000.0,operating,USA,San Francisco,1,2015-08-12,2015-08-12,2015,operating,0,1,0
Augmented Reality|Education|Edutainment,228260.0,operating,POL,Gdynia,1,2013-02-04,2013-02-04,2013,operating,0,1,0
Entertainment|Events|Games|Music|Nightlife,,operating,USA,San Francisco,1,2013-06-09,2013-06-09,2012,operating,0,1,0
Analytics|Brand Marketing|Social Media,300000.0,operating,UKR,Kiev,1,2013-12-13,2013-12-13,2013,operating,0,1,0
3D|Audio|E-Commerce|Fashion|Jewelry|Printing,19975.0,operating,ITA,Roncade,1,2013-09-15,2013-09-15,2013,operating,0,1,0
Event Management,9542943.0,operating,GBR,Cheadle,1,2014-06-05,2014-06-05,2004,operating,0,1,0
Mobile|Sports|Ticketing,60000.0,operating,USA,Lincoln,2,2014-07-01,2014-09-01,2014,operating,0,1,0
Billing|E-Commerce|Mobile Payments|Payments|SaaS,4700370.0,operating,USA,Durham,5,2013-06-10,2015-10-27,2007,operating,0,1,0
Semiconductors,33909833.0,operating,USA,Santa Clara,9,2010-09-29,2013-06-12,2009,operating,0,1,0
Software,1500000.0,operating,USA,Mckinney,1,2009-12-23,2009-12-23,2007,operating,0,1,0
Social Media,40000.0,operating,USA,San Francisco,1,2010-12-14,2010-12-14,2010,operating,0,1,0
Curated Web,4500000.0,closed,USA,San Francisco,2,2009-08-01,2010-02-24,2008,fail,1,0,0
Software,,operating,USA,San Francisco,1,2010-12-09,2010-12-09,2012,operating,0,1,0
Entrepreneur|Social Media,,operating,USA,Cleveland,1,2011-10-20,2011-10-20,2011,operating,0,1,0
Enterprise Software,980000.0,closed,USA,Boxborough,1,2006-01-03,2006-01-03,2001,fail,1,0,0
B2B|Mobile|SaaS|Small and Medium Businesses|Software,135000.0,operating,USA,San Francisco,1,2012-12-20,2012-12-20,2013,operating,0,1,0
Semiconductors,2750000.0,operating,ISR,Yoqne`am `illit,1,2007-07-13,2007-07-13,1999,operating,0,1,0
Semiconductors,9000000.0,closed,USA,Plano,1,2006-05-09,2006-05-09,2004,fail,1,0,0
Consumer Electronics|Drones|Robotics|Security,2487512.6863147,operating,CHE,Lausanne,2,2015-01-29,2015-11-13,2014,operating,0,1,0
Sporting Goods,800000.0,operating,USA,Boston,1,2014-07-19,2014-07-19,2011,operating,0,1,0
Entertainment|Film Production|Games,,operating,ZAF,Cape Town,1,2013-11-18,2013-11-18,1996,operating,0,1,0
Semiconductors,6510027.0,operating,USA,Mountain View,3,2006-10-31,2011-02-22,2012,operating,0,1,0
Location Based Services|Mobile Advertising|Social Media Marketing,2250000.0,operating,IRL,Dublin,2,2014-04-01,2014-08-01,2013,operating,0,1,0
Developer APIs|Mobile,20000.0,operating,ESP,San Sebastián De Los Reyes,1,2013-01-15,2013-01-15,2012,operating,0,1,0
Advertising|Search,96031968.0,operating,USA,Carmel,9,2006-11-01,2013-01-28,2005,operating,0,1,0
Advertising|Search,11500000.0,acquired,USA,San Jose,1,2005-02-01,2005-02-01,2004,success,0,0,1
Internet Marketing|Software|Web Design,,operating,IND,Madurai,1,2013-10-17,2013-10-17,2012,operating,0,1,0
Big Data|Consumer Lending|Financial Services|Information Technology,500000.0,operating,PER,Lima,1,2015-01-01,2015-01-01,2015,operating,0,1,0
Software,184029.0,operating,KOR,Seoul,1,2013-02-27,2013-02-27,2012,operating,0,1,0
Health Care,20900000.0,operating,USA,Waltham,4,2009-07-23,2014-07-23,2008,operating,0,1,0
Software,650000.0,operating,USA,Los Gatos,1,2015-08-25,2015-08-25,2015,operating,0,1,0
Gamification|Social Commerce|Social Media,,operating,BRA,Florianópolis,1,2011-12-12,2011-12-12,2011,operating,0,1,0
Entertainment|Games|High Schools|Software,100000.0,operating,USA,Pompano Beach,1,2000-09-01,2000-09-01,2000,operating,0,1,0
Health and Wellness|Health Care|Retail,4600000.0,operating,USA,Cleveland,3,2009-08-07,2011-01-22,2008,operating,0,1,0
Advertising|Brand Marketing|Content|Creative|Curated Web|Photography|Project Management|Social Network Media|Video,15282497.0,operating,USA,San Clemente,3,2010-09-16,2012-07-12,2007,operating,0,1,0
E-Commerce,10000000.0,operating,CAN,Toronto,1,2015-10-25,2015-10-25,2012,operating,0,1,0
Services|Systems|Visualization,4200000.0,closed,CAN,Kitchener,1,2001-02-16,2001-02-16,2012,fail,1,0,0
Software,4000000.0,closed,USA,Unionville,2,2008-01-01,2009-03-03,2007,fail,1,0,0
Software,25000.0,operating,USA,Fort Walton Beach,1,2015-08-17,2015-08-17,2014,operating,0,1,0
Advertising,495006.0,operating,GBR,London,1,2015-02-09,2015-02-09,2013,operating,0,1,0
Communities|Non Profit|Social Media,975000.0,operating,PRT,San Francisco,4,2012-04-20,2015-07-27,2012,operating,0,1,0
Finance|Location Based Services|Nonprofits|Software|Venture Capital,,operating,USA,Omaha,1,2015-04-28,2015-04-28,2009,operating,0,1,0
Curated Web|Internet|Nonprofits,2599984.0,operating,USA,New York,2,2010-05-20,2014-07-07,2009,operating,0,1,0
Apps|Beauty|Data Integration|E-Commerce|Marketplaces,,operating,MYS,Kuala Lumpur,1,2015-07-15,2015-07-15,2015,operating,0,1,0
Enterprise Software,3400000.0,acquired,USA,Menlo Park,1,2010-12-01,2010-12-01,2010,success,0,0,1
Technology,12000000.0,ipo,USA,Cranbury,1,2003-06-27,2003-06-27,2012,success,0,0,1
Financial Services,70000.0,operating,ISR,Ra'anana,1,2015-01-04,2015-01-04,2014,operating,0,1,0
Human Resources|Software,20000000.0,acquired,USA,Miramar Beach,1,2009-12-01,2009-12-01,1980,success,0,0,1
Manufacturing,,operating,USA,Seagoville,1,2015-03-14,2015-03-14,2012,operating,0,1,0
Advice,,operating,USA,Columbus,1,2010-06-28,2010-06-28,1998,operating,0,1,0
Mobile,1811764.0,operating,SWE,Kista,1,2011-06-30,2011-06-30,2012,operating,0,1,0
Data Security|Identity Management|Information Security|Internet of Things|Network Security|NFC|RFID|SaaS|Security,20000000.0,ipo,USA,Fremont,1,2014-04-02,2014-04-02,2007,success,0,0,1
Apps|SMS|Sports,,operating,USA,San Francisco,1,2010-03-01,2010-03-01,2010,operating,0,1,0
Health Care|Software,1500000.0,operating,USA,San Francisco,1,2013-08-29,2013-08-29,2012,operating,0,1,0
Hardware + Software,1070000.0,operating,FRA,Malakoff,1,2008-03-05,2008-03-05,1979,operating,0,1,0
Health Care Information Technology,1000000.0,operating,USA,Redwood City,1,2015-02-01,2015-02-01,2013,operating,0,1,0
